Index,Code,Description,Include
81,ST37Q02,Math Self-Efficacy - Calculating TV Discount,
82,ST37Q03,Math Self-Efficacy - Calculating Square Metres of Tiles,
83,ST37Q04,Math Self-Efficacy - Understanding Graphs in Newspapers,
84,ST37Q05,Math Self-Efficacy - Solving Equation 1,
85,ST37Q06,Math Self-Efficacy - Distance to Scale,
86,ST37Q07,Math Self-Efficacy - Solving Equation 2,
87,ST37Q08,Math Self-Efficacy - Calculate Petrol Consumption Rate,
88,ST42Q01,Math Anxiety - Worry That It Will Be Difficult,
89,ST42Q02,Math Self-Concept - Not Good at Maths,
90,ST42Q03,Math Anxiety - Get Very Tense,
91,ST42Q04,Math Self-Concept- Get Good <Grades>,
92,ST42Q05,Math Anxiety - Get Very Nervous,
93,ST42Q06,Math Self-Concept - Learn Quickly,
94,ST42Q07,Math Self-Concept - One of Best Subjects,
95,ST42Q08,Math Anxiety - Feel Helpless,
96,ST42Q09,Math Self-Concept - Understand Difficult Work,
97,ST42Q10,Math Anxiety - Worry About Getting Poor <Grades>,
98,ST43Q01,Perceived Control - Can Succeed with Enough Effort,
99,ST43Q02,Perceived Control - Doing Well is Completely Up to Me,
100,ST43Q03,Perceived Control - Family Demands and Problems,
101,ST43Q04,Perceived Control - Different Teachers,
102,ST43Q05,Perceived Control - If I Wanted I Could Perform Well,
103,ST43Q06,Perceived Control - Perform Poorly Regardless,
104,ST44Q01,Attributions to Failure - Not Good at Maths Problems,
105,ST44Q03,Attributions to Failure - Teacher Did Not Explain Well,
106,ST44Q04,Attributions to Failure - Bad Guesses,
107,ST44Q05,Attributions to Failure - Material Too Hard,
108,ST44Q07,Attributions to Failure - Teacher Didnt Get Students Interested,
109,ST44Q08,Attributions to Failure - Unlucky,
110,ST46Q01,Math Work Ethic - Homework Completed in Time,
111,ST46Q02,Math Work Ethic - Work Hard on Homework,
112,ST46Q03,Math Work Ethic - Prepared for Exams,
113,ST46Q04,Math Work Ethic - Study Hard for Quizzes,
114,ST46Q05,Math Work Ethic - Study Until I Understand Everything,
115,ST46Q06,Math Work Ethic - Pay Attention in Classes,
116,ST46Q07,Math Work Ethic - Listen in Classes,
117,ST46Q08,Math Work Ethic - Avoid Distractions When Studying,
118,ST46Q09,Math Work Ethic - Keep Work Organized,
119,ST48Q01,Math Intentions - Mathematics vs. Language Courses After School,
120,ST48Q02,Math Intentions - Mathematics vs. Science Related Major in College,
121,ST48Q03,Math Intentions - Study Harder in Mathematics vs. Language Classes,
122,ST48Q04,Math Intentions - Take Maximum Number of Mathematics vs. Science Classes,
123,ST48Q05,Math Intentions - Pursuing a Career That Involves Mathematics vs. Science,
124,ST49Q01,Math Behaviour - Talk about Maths with Friends,
125,ST49Q02,Math Behaviour - Help Friends with Maths,
126,ST49Q03,Math Behaviour - <Extracurricular> Activity,
127,ST49Q04,Math Behaviour - Participate in Competitions,
128,ST49Q05,Math Behaviour - Study More Than 2 Extra Hours a Day,
129,ST49Q06,Math Behaviour - Play Chess,
130,ST49Q07,Math Behaviour - Computer programming,
131,ST49Q09,Math Behaviour - Participate in Math Club,
132,ST53Q01,Learning Strategies- Important Parts vs. Existing Knowledge vs. Learn by Heart,
133,ST53Q02,Learning Strategies- Improve Understanding vs. New Ways vs. Memory,
134,ST53Q03,Learning Strategies - Other Subjects vs. Learning Goals vs. Rehearse Problems,
135,ST53Q04,Learning Strategies - Repeat Examples vs. Everyday Applications vs. More Information,
136,ST55Q01,Out of school lessons - <test lang>,
137,ST55Q02,Out of school lessons - <maths>,
138,ST55Q03,Out of school lessons - <science>,
139,ST55Q04,Out of school lessons - other,
140,ST57Q01,Out-of-School Study Time - Homework,
141,ST57Q02,Out-of-School Study Time - Guided Homework,
142,ST57Q03,Out-of-School Study Time - Personal Tutor,
143,ST57Q04,Out-of-School Study Time - Commercial Company,
144,ST57Q05,Out-of-School Study Time - With Parent,
145,ST57Q06,Out-of-School Study Time - Computer,
146,ST61Q01,Experience with Applied Maths Tasks - Use <Train Timetable>,
147,ST61Q02,Experience with Applied Maths Tasks - Calculate Price including Tax,
148,ST61Q03,Experience with Applied Maths Tasks - Calculate Square Metres,
149,ST61Q04,Experience with Applied Maths Tasks - Understand Scientific Tables,
150,ST61Q05,Experience with Pure Maths Tasks - Solve Equation 1,
151,ST61Q06,Experience with Applied Maths Tasks - Use a Map to Calculate Distance,
152,ST61Q07,Experience with Pure Maths Tasks - Solve Equation 2,
153,ST61Q08,Experience with Applied Maths Tasks - Calculate Power Consumption Rate,
154,ST61Q09,Experience with Applied Maths Tasks - Solve Equation 3,
155,ST62Q01,Familiarity with Math Concepts - Exponential Function,
156,ST62Q02,Familiarity with Math Concepts - Divisor,
157,ST62Q03,Familiarity with Math Concepts - Quadratic Function,
158,ST62Q04,Overclaiming - Proper Number,
159,ST62Q06,Familiarity with Math Concepts - Linear Equation,
160,ST62Q07,Familiarity with Math Concepts - Vectors,
161,ST62Q08,Familiarity with Math Concepts - Complex Number,
162,ST62Q09,Familiarity with Math Concepts - Rational Number,
163,ST62Q10,Familiarity with Math Concepts - Radicals,
164,ST62Q11,Overclaiming - Subjunctive Scaling,
165,ST62Q12,Familiarity with Math Concepts - Polygon,
166,ST62Q13,Overclaiming - Declarative Fraction,
167,ST62Q15,Familiarity with Math Concepts - Congruent Figure,
168,ST62Q16,Familiarity with Math Concepts - Cosine,
169,ST62Q17,Familiarity with Math Concepts - Arithmetic Mean,
170,ST62Q19,Familiarity with Math Concepts - Probability,
171,ST69Q01,Min in <class period> - <test lang>,
172,ST69Q02,Min in <class period> - <Maths>,
173,ST69Q03,Min in <class period> - <Science>,
174,ST70Q01,No of <class period> p/wk - <test lang>,
175,ST70Q02,No of <class period> p/wk - <Maths>,
176,ST70Q03,No of <class period> p/wk - <Science>,
177,ST71Q01,No of ALL <class period> a week,
178,ST72Q01,Class Size - No of Students in <Test Language> Class,
179,ST73Q01,OTL - Algebraic Word Problem in Math Lesson,
180,ST73Q02,OTL - Algebraic Word Problem in Tests,
181,ST74Q01,OTL - Procedural Task in Math Lesson,
182,ST74Q02,OTL - Procedural Task in Tests,
183,ST75Q01,OTL - Pure Math Reasoning in Math Lesson,
184,ST75Q02,OTL - Pure Math Reasoning in Tests,
185,ST76Q01,OTL - Applied Math Reasoning in Math Lesson,
186,ST76Q02,OTL - Applied Math Reasoning in Tests,
187,ST77Q01,Math Teaching - Teacher shows interest,
188,ST77Q02,Math Teaching - Extra help,
189,ST77Q04,Math Teaching - Teacher helps,
190,ST77Q05,Math Teaching - Teacher continues,
191,ST77Q06,Math Teaching - Express opinions,
192,ST79Q01,Teacher-Directed Instruction - Sets Clear Goals,
193,ST79Q02,Teacher-Directed Instruction - Encourages Thinking and Reasoning,
194,ST79Q03,Student Orientation - Differentiates Between Students When Giving Tasks,
195,ST79Q04,Student Orientation - Assigns Complex Projects,
196,ST79Q05,Formative Assessment - Gives Feedback,
197,ST79Q06,Teacher-Directed Instruction - Checks Understanding,
198,ST79Q07,Student Orientation - Has Students Work in Small Groups,
199,ST79Q08,Teacher-Directed Instruction - Summarizes Previous Lessons,
200,ST79Q10,Student Orientation - Plans Classroom Activities,
201,ST79Q11,Formative Assessment - Gives Feedback on Strengths and Weaknesses,
202,ST79Q12,Formative Assessment - Informs about Expectations,
203,ST79Q15,Teacher-Directed Instruction - Informs about Learning Goals,
204,ST79Q17,Formative Assessment - Tells How to Get Better,
205,ST80Q01,Cognitive Activation - Teacher Encourages to Reflect Problems,
206,ST80Q04,Cognitive Activation - Gives Problems that Require to Think,
207,ST80Q05,Cognitive Activation - Asks to Use Own Procedures,
208,ST80Q06,Cognitive Activation - Presents Problems with No Obvious Solutions,
209,ST80Q07,Cognitive Activation - Presents Problems in Different Contexts,
210,ST80Q08,Cognitive Activation - Helps Learn from Mistakes,
211,ST80Q09,Cognitive Activation - Asks for Explanations,
212,ST80Q10,Cognitive Activation - Apply What We Learned,
213,ST80Q11,Cognitive Activation - Problems with Multiple Solutions,
214,ST81Q01,Disciplinary Climate - Students Don’t Listen,
215,ST81Q02,Disciplinary Climate - Noise and Disorder,
216,ST81Q03,Disciplinary Climate - Teacher Has to Wait Until its Quiet,
217,ST81Q04,Disciplinary Climate - Students Don’t Work Well,
218,ST81Q05,Disciplinary Climate - Students Start Working Late,
219,ST82Q01,Vignette Teacher Support -Homework Every Other Day/Back in Time,
220,ST82Q02,Vignette Teacher Support - Homework Once a Week/Back in Time,
221,ST82Q03,Vignette Teacher Support - Homework Once a Week/Not Back in Time,
222,ST83Q01,Teacher Support - Lets Us Know We Have to Work Hard,
223,ST83Q02,Teacher Support - Provides Extra Help When Needed,
224,ST83Q03,Teacher Support - Helps Students with Learning,
225,ST83Q04,Teacher Support - Gives Opportunity to Express Opinions,
226,ST84Q01,Vignette Classroom Management - Students Frequently Interrupt/Teacher Arrives Early,
227,ST84Q02,Vignette Classroom Management - Students Are Calm/Teacher Arrives on Time,
228,ST84Q03,Vignette Classroom Management - Students Frequently Interrupt/Teacher Arrives Late,
229,ST85Q01,Classroom Management - Students Listen,
230,ST85Q02,Classroom Management - Teacher Keeps Class Orderly,
231,ST85Q03,Classroom Management - Teacher Starts On Time,
232,ST85Q04,Classroom Management - Wait Long to <Quiet Down>,
233,ST86Q01,Student-Teacher Relation - Get Along with Teachers,
234,ST86Q02,Student-Teacher Relation - Teachers Are Interested,
235,ST86Q03,Student-Teacher Relation - Teachers Listen to Students,
236,ST86Q04,Student-Teacher Relation - Teachers Help Students,
237,ST86Q05,Student-Teacher Relation - Teachers Treat Students Fair,
238,ST87Q01,Sense of Belonging - Feel Like Outsider,
239,ST87Q02,Sense of Belonging - Make Friends Easily,
240,ST87Q03,Sense of Belonging - Belong at School,
241,ST87Q04,Sense of Belonging - Feel Awkward at School,
242,ST87Q05,Sense of Belonging - Liked by Other Students,
243,ST87Q06,Sense of Belonging - Feel Lonely at School,
244,ST87Q07,Sense of Belonging - Feel Happy at School,
245,ST87Q08,Sense of Belonging - Things Are Ideal at School,
246,ST87Q09,Sense of Belonging - Satisfied at School,
247,ST88Q01,Attitude towards School - Does Little to Prepare Me for Life,
248,ST88Q02,Attitude towards School - Waste of Time,
249,ST88Q03,Attitude towards School - Gave Me Confidence,
250,ST88Q04,Attitude towards School- Useful for Job,
251,ST89Q02,Attitude toward School - Helps to Get a Job,
252,ST89Q03,Attitude toward School - Prepare for College,
253,ST89Q04,Attitude toward School - Enjoy Good Grades,
254,ST89Q05,Attitude toward School - Trying Hard is Important,
255,ST91Q01,Perceived Control - Can Succeed with Enough Effort,
256,ST91Q02,Perceived Control - My Choice Whether I Will Be Good,
257,ST91Q03,Perceived Control - Problems Prevent from Putting Effort into School,
258,ST91Q04,Perceived Control - Different Teachers Would Make Me Try Harder,
259,ST91Q05,Perceived Control - Could Perform Well if I Wanted,
260,ST91Q06,Perceived Control - Perform Poor Regardless,
261,ST93Q01,Perseverance - Give up easily,
262,ST93Q03,Perseverance - Put off difficult problems,
263,ST93Q04,Perseverance - Remain interested,
264,ST93Q06,Perseverance - Continue to perfection,
265,ST93Q07,Perseverance - Exceed expectations,
266,ST94Q05,Openness for Problem Solving - Can Handle a Lot of Information,
267,ST94Q06,Openness for Problem Solving - Quick to Understand,
268,ST94Q09,Openness for Problem Solving - Seek Explanations,
269,ST94Q10,Openness for Problem Solving - Can Link Facts,
270,ST94Q14,Openness for Problem Solving - Like to Solve Complex Problems,
271,ST96Q01,Problem Text Message - Press every button,
272,ST96Q02,Problem Text Message - Trace steps,
273,ST96Q03,Problem Text Message - Manual,
274,ST96Q05,Problem Text Message - Ask a friend,
275,ST101Q01,Problem Route Selection - Read brochure,
276,ST101Q02,Problem Route Selection - Study map,
277,ST101Q03,Problem Route Selection - Leave it to brother,
278,ST101Q05,Problem Route Selection - Just drive,
279,ST104Q01,Problem Ticket Machine - Similarities,
280,ST104Q04,Problem Ticket Machine - Try buttons,
281,ST104Q05,Problem Ticket Machine - Ask for help,
282,ST104Q06,Problem Ticket Machine - Find ticket office,
283,IC01Q01,At Home - Desktop Computer,
284,IC01Q02,At Home - Portable laptop,
285,IC01Q03,At Home - Tablet computer,
286,IC01Q04,At Home - Internet connection,
287,IC01Q05,At Home - Video games console,
288,IC01Q06,At Home - Cell phone w/o Internet,
289,IC01Q07,At Home - Cell phone with Internet,
290,IC01Q08,At Home - Mp3/Mp4 player,
291,IC01Q09,At Home - Printer,
292,IC01Q10,At Home - USB (memory) stick,
293,IC01Q11,At Home - Ebook reader,
294,IC02Q01,At school - Desktop Computer,
295,IC02Q02,At school - Portable laptop,
296,IC02Q03,At school - Tablet computer,
297,IC02Q04,At school - Internet connection,
298,IC02Q05,At school - Printer,
299,IC02Q06,At school - USB (memory) stick,
300,IC02Q07,At school - Ebook reader,
301,IC03Q01,First use of computers,
302,IC04Q01,First access to Internet,
303,IC05Q01,Internet at School,
304,IC06Q01,Internet out-of-school - Weekday,
305,IC07Q01,Internet out-of-school - Weekend,
306,IC08Q01,Out-of-school 8 - One player games.,
307,IC08Q02,Out-of-school 8 - ColLabourative games.,
308,IC08Q03,Out-of-school 8 - Use email,
309,IC08Q04,Out-of-school 8 - Chat on line,
310,IC08Q05,Out-of-school 8 - Social networks,
311,IC08Q06,Out-of-school 8 - Browse the Internet for fun,
312,IC08Q07,Out-of-school 8 - Read news,
313,IC08Q08,Out-of-school 8 - Obtain practical information from the Internet,
314,IC08Q09,Out-of-school 8 - Download music,
315,IC08Q11,Out-of-school 8 - Upload content,
316,IC09Q01,Out-of-school 9 - Internet for school,
317,IC09Q02,Out-of-school 9 - Email students,
318,IC09Q03,Out-of-school 9 - Email teachers,
319,IC09Q04,Out-of-school 9 - Download from School,
320,IC09Q05,Out-of-school 9 - Announcements,
321,IC09Q06,Out-of-school 9 - Homework,
322,IC09Q07,Out-of-school 9 - Share school material,
323,IC10Q01,At School - Chat on line,
324,IC10Q02,At School - Email,
325,IC10Q03,At School - Browse for schoolwork,
326,IC10Q04,At School - Download from website,
327,IC10Q05,At School - Post on website,
328,IC10Q06,At School - Simulations,
329,IC10Q07,At School - Practice and drilling,
330,IC10Q08,At School - Homework,
331,IC10Q09,At School - Group work,
332,IC11Q01,Maths lessons - Draw graph,
333,IC11Q02,Maths lessons - Calculation with numbers,
334,IC11Q03,Maths lessons - Geometric figures,
335,IC11Q04,Maths lessons - Spreadsheet,
336,IC11Q05,Maths lessons - Algebra,
337,IC11Q06,Maths lessons - Histograms,
338,IC11Q07,Maths lessons - Change in graphs,
339,IC22Q01,Attitudes - Useful for schoolwork,
340,IC22Q02,Attitudes - Homework more fun,
341,IC22Q04,Attitudes - Source of information,
342,IC22Q06,Attitudes - Troublesome,
343,IC22Q07,Attitudes - Not suitable for schoolwork,
344,IC22Q08,Attitudes - Too unreliable,
345,EC01Q01,Miss 2 months of <ISCED 1>,
346,EC02Q01,Miss 2 months of <ISCED 2>,
347,EC03Q01,Future Orientation - Internship,
348,EC03Q02,Future Orientation - Work-site visits,
349,EC03Q03,Future Orientation - Job fair,
350,EC03Q04,Future Orientation - Career advisor at school,
351,EC03Q05,Future Orientation - Career advisor outside school,
352,EC03Q06,Future Orientation - Questionnaire,
353,EC03Q07,Future Orientation - Internet search,
354,EC03Q08,Future Orientation - Tour<ISCED 3-5> institution,
355,EC03Q09,Future Orientation - web search <ISCED 3-5> prog,
356,EC03Q10,Future Orientation - <country specific item>,
357,EC04Q01A,"Acquired skills - Find job info - Yes, at school",
358,EC04Q01B,"Acquired skills - Find job info - Yes, out of school",
359,EC04Q01C,"Acquired skills - Find job info - No, never",
360,EC04Q02A,"Acquired skills - Search for job - Yes, at school",
361,EC04Q02B,"Acquired skills - Search for job - Yes, out of school",
362,EC04Q02C,"Acquired skills - Search for job - No, never",
363,EC04Q03A,"Acquired skills - Write resume - Yes, at school",
364,EC04Q03B,"Acquired skills - Write resume - Yes, out of school",
365,EC04Q03C,"Acquired skills - Write resume - No, never",
366,EC04Q04A,"Acquired skills - Job interview - Yes, at school",
367,EC04Q04B,"Acquired skills - Job interview - Yes, out of school",
368,EC04Q04C,"Acquired skills - Job interview - No, never",
369,EC04Q05A,"Acquired skills - ISCED 3-5 programs - Yes, at school",
370,EC04Q05B,"Acquired skills - ISCED 3-5 programs - Yes, out of school",
371,EC04Q05C,"Acquired skills - ISCED 3-5 programs - No, never",
372,EC04Q06A,"Acquired skills - Student financing - Yes, at school",
373,EC04Q06B,"Acquired skills - Student financing - Yes, out of school",
374,EC04Q06C,"Acquired skills - Student financing - No, never",
375,EC05Q01,First language learned,
376,EC06Q01,Age started learning <test language>,
377,EC07Q01,Language spoken - Mother,
378,EC07Q02,Language spoken - Father,
379,EC07Q03,Language spoken - Siblings,
380,EC07Q04,Language spoken - Best friend,
381,EC07Q05,Language spoken - Schoolmates,
382,EC08Q01,Activities language - Reading,
383,EC08Q02,Activities language - Watching TV,
384,EC08Q03,Activities language - Internet surfing,
385,EC08Q04,Activities language - Writing emails,
386,EC09Q03,Types of support <test language> - remedial lessons,
387,EC10Q01,Amount of support <test language>,
388,EC11Q02,Attend lessons <heritage language> - focused,
389,EC11Q03,Attend lessons <heritage language> - school subjects,
390,EC12Q01,Instruction in <heritage language>,
391,ST22Q01,Acculturation - Mother Immigrant (Filter),
392,ST23Q01,Acculturation - Enjoy <Host Culture> Friends,
393,ST23Q02,Acculturation - Enjoy <Heritage Culture> Friends,
394,ST23Q03,Acculturation - Enjoy <Host Culture> Celebrations,
395,ST23Q04,Acculturation - Enjoy <Heritage Culture> Celebrations,
396,ST23Q05,Acculturation - Spend Time with <Host Culture> Friends,
397,ST23Q06,Acculturation - Spend Time with <Heritage Culture> Friends,
398,ST23Q07,Acculturation - Participate in <Host Culture> Celebrations,
399,ST23Q08,Acculturation - Participate in <Heritage Culture> Celebrations,
400,ST24Q01,Acculturation - Perceived Host-Heritage Cultural Differences - Values,
401,ST24Q02,Acculturation - Perceived Host-Heritage Cultural Differences - Mother Treatment,
402,ST24Q03,Acculturation - Perceived Host-Heritage Cultural Differences - Teacher Treatment,
403,CLCUSE1,Calculator Use,
404,CLCUSE301,Effort-real 1,
405,CLCUSE302,Effort-real 2,
406,DEFFORT,Difference in Effort,
407,QUESTID,Student Questionnaire Form,
408,BOOKID,Booklet ID,
409,EASY,Standard or simplified set of booklets,
410,AGE,Age of student,
411,GRADE,Grade compared to modal grade in country,
412,PROGN,Unique national study programme code,
413,ANXMAT,Mathematics Anxiety,
414,ATSCHL,Attitude towards School: Learning Outcomes,
415,ATTLNACT,Attitude towards School: Learning Activities,
416,BELONG,Sense of Belonging to School,
417,BFMJ2,Father SQ ISEI,
418,BMMJ1,Mother SQ ISEI,
419,CLSMAN,Mathematics Teacher's Classroom Management,
420,COBN_F,Country of Birth National Categories- Father,
421,COBN_M,Country of Birth National Categories- Mother,
422,COBN_S,Country of Birth National Categories- Self,
423,COGACT,Cognitive Activation in Mathematics Lessons,
424,CULTDIST,Cultural Distance between Host and Heritage Culture,
425,CULTPOS,Cultural Possessions,
426,DISCLIMA,Disciplinary Climate,
427,ENTUSE,ICT Entertainment Use,
428,ESCS,"Index of economic, social and cultural status",
429,EXAPPLM,Experience with Applied Mathematics Tasks at School,
430,EXPUREM,Experience with Pure Mathematics Tasks at School,
431,FAILMAT,Attributions to Failure in Mathematics,
432,FAMCON,Familiarity with Mathematical Concepts,
433,FAMCONC,Familiarity with Mathematical Concepts (Signal Detection  Adjusted),
434,FAMSTRUC,Family Structure,
435,FISCED,Educational level of father (ISCED),
436,HEDRES,Home educational resources,
437,HERITCUL,Acculturation: Heritage Culture Oriented  Strategies,
438,HISCED,Highest educational level of parents,
439,HISEI,Highest parental occupational status,
440,HOMEPOS,Home Possessions,
441,HOMSCH,ICT Use at Home for School-related Tasks,
442,HOSTCUL,Acculturation: Host Culture Oriented Strategies,
443,ICTATTNEG,Attitudes Towards Computers: Limitations of the Computer as a Tool for School Learning,
444,ICTATTPOS,Attitudes Towards Computers: Computer as a Tool for School Learning,
445,ICTHOME,ICT Availability at Home,
446,ICTRES,ICT resources,
447,ICTSCH,ICT Availability at School,
448,IMMIG,Immigration status,
449,INFOCAR,Information about Careers,
450,INFOJOB1,Information about the Labour Market provided by the School,
451,INFOJOB2,Information about the Labour Market provided outside of School,
452,INSTMOT,Instrumental Motivation for Mathematics,
453,INTMAT,Mathematics Interest,
454,ISCEDD,ISCED designation,
455,ISCEDL,ISCED level,
456,ISCEDO,ISCED orientation,
457,LANGCOMM,Preference for Heritage Language in Conversations with Family and Friends,
458,LANGN,Language at home (3-digit code),
459,LANGRPPD,Preference for Heritage Language in Language Reception and Production,
460,LMINS,Learning time (minutes per week)  - <test language>,
461,MATBEH,Mathematics Behaviour,
462,MATHEFF,Mathematics Self-Efficacy,
463,MATINTFC,Mathematics Intentions,
464,MATWKETH,Mathematics Work Ethic,
465,MISCED,Educational level of mother (ISCED),
466,MMINS,Learning time (minutes per week)- <Mathematics>,
467,MTSUP,Mathematics Teacher's Support,
468,OCOD1,ISCO-08 Occupation code - Mother,
469,OCOD2,ISCO-08 Occupation code - Father,
470,OPENPS,Openness for Problem Solving,
471,OUTHOURS,Out-of-School Study Time,
472,PARED,Highest parental education in years,
473,PERSEV,Perseverance,
474,REPEAT,Grade Repetition,
475,SCMAT,Mathematics Self-Concept,
476,SMINS,Learning time (minutes per week) - <Science>,
477,STUDREL,Teacher Student Relations,
478,SUBNORM,Subjective Norms in Mathematics,
479,TCHBEHFA,Teacher Behaviour: Formative Assessment,
480,TCHBEHSO,Teacher Behaviour: Student Orientation,
481,TCHBEHTD,Teacher Behaviour: Teacher-directed Instruction,
482,TEACHSUP,Teacher Support,
483,TESTLANG,Language of the test,
484,TIMEINT,Time of computer use (mins),
485,USEMATH,Use of ICT in Mathematic Lessons,
486,USESCH,Use of ICT at School,
487,WEALTH,Wealth,
488,ANCATSCHL,Attitude towards School: Learning Outcomes (Anchored),
489,ANCATTLNACT,Attitude towards School: Learning Activities (Anchored),
490,ANCBELONG,Sense of Belonging to School (Anchored),
491,ANCCLSMAN,Mathematics Teacher's Classroom Management (Anchored),
492,ANCCOGACT,Cognitive Activation in Mathematics Lessons (Anchored),
493,ANCINSTMOT,Instrumental Motivation for Mathematics (Anchored),
494,ANCINTMAT,Mathematics Interest (Anchored),
495,ANCMATWKETH,Mathematics Work Ethic (Anchored),
496,ANCMTSUP,Mathematics Teacher's Support (Anchored),
497,ANCSCMAT,Mathematics Self-Concept (Anchored),
498,ANCSTUDREL,Teacher Student Relations (Anchored),
499,ANCSUBNORM,Subjective Norms in Mathematics (Anchored),
500,PV1MATH,Plausible value 1 in mathematics,1
501,PV2MATH,Plausible value 2 in mathematics,1
502,PV3MATH,Plausible value 3 in mathematics,1
503,PV4MATH,Plausible value 4 in mathematics,1
504,PV5MATH,Plausible value 5 in mathematics,1
505,PV1MACC,Plausible value 1 in content subscale of math - Change and Relationships,
506,PV2MACC,Plausible value 2 in content subscale of math - Change and Relationships,
507,PV3MACC,Plausible value 3 in content subscale of math - Change and Relationships,
508,PV4MACC,Plausible value 4 in content subscale of math - Change and Relationships,
509,PV5MACC,Plausible value 5 in content subscale of math - Change and Relationships,
510,PV1MACQ,Plausible value 1 in content subscale of math - Quantity,
511,PV2MACQ,Plausible value 2 in content subscale of math - Quantity,
512,PV3MACQ,Plausible value 3 in content subscale of math - Quantity,
513,PV4MACQ,Plausible value 4 in content subscale of math - Quantity,
514,PV5MACQ,Plausible value 5 in content subscale of math - Quantity,
515,PV1MACS,Plausible value 1 in content subscale of math - Space and Shape,
516,PV2MACS,Plausible value 2 in content subscale of math - Space and Shape,
517,PV3MACS,Plausible value 3 in content subscale of math - Space and Shape,
518,PV4MACS,Plausible value 4 in content subscale of math - Space and Shape,
519,PV5MACS,Plausible value 5 in content subscale of math - Space and Shape,
520,PV1MACU,Plausible value 1 in content subscale of math - Uncertainty and Data,
521,PV2MACU,Plausible value 2 in content subscale of math - Uncertainty and Data,
522,PV3MACU,Plausible value 3 in content subscale of math - Uncertainty and Data,
